customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST_0002,23,17,1089408.53,4,5,5,455,14,Champions
CUST_0003,149,8,694015.47,2,4,4,244,10,Loyal Customers
CUST_0004,137,7,474165.76,2,4,4,244,10,Loyal Customers
CUST_0005,315,1,137173.52,1,1,2,112,4,Lost Customers
CUST_0006,162,1,100104.15,2,1,2,212,5,At-Risk
CUST_0008,29,12,1018407.19,4,5,5,455,14,Champions
CUST_0009,4,7,374961.20999999996,5,4,3,543,12,Loyal Customers
CUST_0010,23,3,165311.11000000002,4,2,2,422,8,Potential Loyalists
CUST_0012,9,17,1152541.01,5,5,5,555,15,Champions
CUST_0013,8,11,1021235.53,5,4,5,545,14,Champions
CUST_0014,9,2,169728.75,5,1,2,512,8,Potential Loyalists
CUST_0015,39,2,265932.85000000003,3,1,3,313,7,Potential Loyalists
CUST_0016,116,4,360927.99,2,3,3,233,8,Potential Loyalists
CUST_0017,14,2,80720.8,5,1,1,511,7,Potential Loyalists
CUST_0018,100,6,446012.59,2,4,4,244,10,Loyal Customers
CUST_0019,27,3,369677.28,4,2,3,423,9,Potential Loyalists
CUST_0021,15,5,315173.86,5,3,3,533,11,Loyal Customers
CUST_0022,221,2,333101.36,1,2,3,123,6,At-Risk
CUST_0023,14,2,230072.27000000002,5,2,2,522,9,Potential Loyalists
CUST_0024,79,1,240653.0,3,1,3,313,7,Potential Loyalists
CUST_0025,45,3,243159.01,3,2,3,323,8,Potential Loyalists
CUST_0026,3,12,1251270.3800000001,5,5,5,555,15,Champions
CUST_0027,68,2,32032.79,3,2,1,321,6,At-Risk
CUST_0028,35,3,432538.64,4,3,4,434,11,Loyal Customers
CUST_0029,29,5,281613.27,4,3,3,433,10,Loyal Customers
CUST_0031,116,6,483968.9,2,4,4,244,10,Loyal Customers
CUST_0033,196,1,77332.0,1,1,1,111,3,Lost Customers
CUST_0034,74,14,649767.59,3,5,4,354,12,Loyal Customers
CUST_0035,24,23,1919558.02,4,5,5,455,14,Champions
CUST_0036,9,11,857075.73,5,5,5,555,15,Champions
CUST_0037,70,5,337479.20999999996,3,3,3,333,9,Potential Loyalists
CUST_0038,233,1,28719.46,1,1,1,111,3,Lost Customers
CUST_0039,20,7,447546.62,4,4,4,444,12,Loyal Customers
CUST_0040,54,4,317942.71,3,3,3,333,9,Potential Loyalists
CUST_0041,192,1,32749.9,1,1,1,111,3,Lost Customers
CUST_0042,49,2,140325.97999999998,3,2,2,322,7,Potential Loyalists
CUST_0044,73,5,524228.38,3,3,4,334,10,Loyal Customers
CUST_0045,62,2,207542.41999999998,3,2,2,322,7,Potential Loyalists
CUST_0046,128,4,348987.82,2,3,3,233,8,Potential Loyalists
CUST_0047,260,1,9883.28,1,1,1,111,3,Lost Customers
CUST_0048,8,3,133293.18,5,3,2,532,10,Loyal Customers
CUST_0049,129,4,306845.82999999996,2,3,3,233,8,Potential Loyalists
CUST_0050,206,1,21241.25,1,1,1,111,3,Lost Customers
CUST_0051,33,18,1139041.8,4,5,5,455,14,Champions
CUST_0052,46,11,762664.96,3,5,5,355,13,Champions
CUST_0053,25,11,701336.05,4,5,4,454,13,Champions
CUST_0054,6,12,553754.86,5,5,4,554,14,Champions
CUST_0055,60,7,577594.26,3,4,4,344,11,Loyal Customers
CUST_0056,1,15,748957.02,5,5,4,554,14,Champions
CUST_0058,271,1,73861.52,1,1,1,111,3,Lost Customers
CUST_0060,166,2,133927.16,1,2,2,122,5,At-Risk
CUST_0061,275,2,200713.17,1,2,2,122,5,At-Risk
CUST_0063,52,2,174186.84,3,2,2,322,7,Potential Loyalists
CUST_0065,325,1,65328.02,1,1,1,111,3,Lost Customers
CUST_0066,80,6,452431.87,2,4,4,244,10,Loyal Customers
CUST_0068,128,8,782735.53,2,4,5,245,11,Loyal Customers
CUST_0070,24,25,1598119.55,4,5,5,455,14,Champions
CUST_0071,16,9,922477.72,5,4,5,545,14,Champions
CUST_0072,148,1,42253.83,2,1,1,211,4,Lost Customers
CUST_0074,33,7,254604.35,4,4,3,443,11,Loyal Customers
CUST_0075,72,11,748781.5499999999,3,5,4,354,12,Loyal Customers
CUST_0076,172,5,272463.28,1,3,3,133,7,Potential Loyalists
CUST_0077,103,7,417237.17,2,4,4,244,10,Loyal Customers
CUST_0078,204,1,115913.88,1,1,2,112,4,Lost Customers
CUST_0081,39,12,1209020.5,3,5,5,355,13,Champions
CUST_0082,8,5,338201.36,5,3,3,533,11,Loyal Customers
CUST_0083,53,2,34807.24,3,2,1,321,6,At-Risk
CUST_0085,127,2,54840.89,2,2,1,221,5,At-Risk
CUST_0086,60,3,313412.89,3,3,3,333,9,Potential Loyalists
CUST_0087,5,8,692543.63,5,4,4,544,13,Champions
CUST_0088,200,4,168186.02,1,3,2,132,6,At-Risk
CUST_0089,44,9,609862.77,3,4,4,344,11,Loyal Customers
CUST_0091,154,1,23645.2,2,1,1,211,4,Lost Customers
CUST_0092,31,6,468487.08,4,4,4,444,12,Loyal Customers
CUST_0093,22,5,462737.56,4,3,4,434,11,Loyal Customers
CUST_0094,29,5,425908.65,4,3,4,434,11,Loyal Customers
